1.000000000000000000e+00,1.845280245971581481e-02,1.395648677966424347e-02,6.506937090307474136e-03,3.491289215162396431e-03
5.000000000000000000e+00,1.322057138066480009e-01,5.544281395019164810e-03,5.571791436523199081e-03,2.571477787569165230e-03
7.000000000000000000e+00,1.856060998541781693e-01,5.294851306825876062e-03,5.571791436523199081e-03,2.571477787569165230e-03
1.000000000000000000e+01,2.681820450336090400e-01,4.905419833292918447e-03,4.971628077328205109e-03,1.928000827319920063e-03
1.500000000000000000e+01,4.076731591258430654e-01,4.542089228717876258e-03,4.861101508140563965e-03,1.826761756092309952e-03
2.500000000000000000e+01,7.010159902233216167e-01,4.144974390510469502e-03,4.578113555908203125e-03,1.455367077142000198e-03
3.000000000000000000e+01,8.554924368452824224e-01,4.005905179240341896e-03,4.551837220788002014e-03,1.434505102224647999e-03
4.000000000000000000e+01,1.173433103434993630e+00,3.789186733774840745e-03,4.489770624786615372e-03,1.356084365397691727e-03
5.000000000000000000e+01,1.511419460676390658e+00,3.691233949004007250e-03,4.468429367989301682e-03,1.353231375105679035e-03
6.000000000000000000e+01,1.810725171899733477e+00,3.581119954053844836e-03,4.426022991538047791e-03,1.309472601860761642e-03
7.000000000000000000e+01,2.138016762676933524e+00,3.504556024979267603e-03,4.370319191366434097e-03,1.252416172064840794e-03
8.000000000000000000e+01,2.498258818947490134e+00,3.467393049504607916e-03,4.370319191366434097e-03,1.252416172064840794e-03
1.000000000000000000e+02,3.237351830677491549e+00,3.415144805330783129e-03,4.370319191366434097e-03,1.252416172064840794e-03
1.200000000000000000e+02,3.995936775516666817e+00,3.380438224745116113e-03,4.370319191366434097e-03,1.252416172064840794e-03
1.500000000000000000e+02,5.166620412961670183e+00,3.325179872834788976e-03,4.370319191366434097e-03,1.252416172064840794e-03
